"elencoid","pelicula_id","personajeid"
1662,128,705
1663,128,2089
1664,128,325
1665,128,314
1666,128,1339
1667,128,282
1668,128,11
1669,128,2090
1670,128,2084
1671,128,1900
1672,128,103
1673,128,322
1674,128,2091
1675,128,388
1676,128,2092
1677,128,2093
1684,130,748
1685,130,1098
1686,130,2113
1687,130,2114
1688,130,267
1694,132,1107
1695,132,1688
1696,132,1517
1697,132,55
1698,132,2133
1699,132,751
1700,132,2134
1701,132,749
1702,132,1137
1703,132,326
1734,135,155
1735,135,312
1736,135,67
1737,135,99
1738,135,66
1739,135,1221
1740,135,2182
1741,135,2189
1742,135,2190
1743,135,2191
1744,135,2192
1745,135,2193
1746,135,2194
1747,135,2195
1748,135,2196
1749,135,1645
1750,135,461
1751,135,2197
1752,137,2206
1753,137,2218
1754,137,2207
1755,137,2208
1756,137,1550
1757,137,799
1758,137,871
1759,137,921
1760,137,922
1761,137,1566
1762,137,720
1763,137,1445
1764,137,2209
1765,137,1010
1773,139,2231
1774,139,2232
1775,139,2233
1776,139,2234
1777,139,2235
1778,139,2236
1779,139,2237
1780,139,2238
1781,139,2239
1782,139,2240
1783,139,2241
1784,140,73
1785,140,2254
1786,140,1672
1787,140,2255
1788,140,2256
1789,140,1321
1790,140,2257
1791,140,2258
1792,140,74
1793,140,2259
1794,140,954
1795,140,1345
1796,140,2260
1797,140,20
1798,140,2261
1799,140,1184
1800,140,2262
1801,140,2263
1802,140,2264
1803,140,1784
1804,140,2266
1805,140,2267
1806,140,611
1807,141,950
1808,141,254
1809,141,894
1810,141,2276
1811,141,100
1812,141,2089
1813,141,1484
1814,141,577
1815,144,2291
1816,144,2292
1817,144,2293
1818,144,2294
1819,144,2295
1820,145,2297
1821,145,2298
1822,145,843
1823,145,702
1824,145,921
1825,145,1266
1826,145,630
1827,145,459
1828,145,1566
1829,145,1530
1830,145,2299
1831,145,515
1832,145,2300
1833,145,2301
1834,145,2302
1850,147,549
1851,147,1744
1852,147,2345
1853,147,227
1854,147,950
1855,147,1028
1856,147,2346
1857,147,2347
1858,147,2349
1859,147,2348
1860,147,2351
1861,147,2350
1862,147,2352
1863,147,49
1864,147,206
1865,147,103
1866,147,2353
1867,147,1409
1868,148,2361
