"premios","pelicula_id"
"<li> Premio MovieCity, Festival Internacional de Cine de Valdivia, 2010.<br>
<li> Mejor interpretación, Festival de Cine Gay “Queer Lisboa”, Portugal, 2011.<br>
<li> Mejor película, Mejor Banda Sonora, Mejor Fotografía, Festival de Cine Chileno Quilpué, 2011.",1098
"<li> Mejor Documental, Festival de Cine In-Edit, Chile, 2010.",1170
"<li> Mejor Película Competencia Largometraje Chileno, Festival Internacional de Cine de Valdivia, Chile, 2010.",1176
"<li> Premio Especial, Festival Internacional del Nuevo Cine Latinoamericano de La Habana, 2010.",1344
"<li> Segundo premio, mejor montaje, premio especial TVN al mejor guión, Fesancor, Chile, 2008.<br>",1429
"<li> Premio Horizonte, Dok fest Munich, 2011.<br>
<li> Premio Especial del Jurado Competencia de Cine Chileno, Festival Internacional de Cine de Valdivia, 2011.",1392
"<li> Primer Premio de la Competencia Oficial de Largometrajes, Festival Internacional de Cine de Derechos Humanos DerHumALC, Argentina, 2011.<br>
<li> Mejor Largometraje, Festival de Cine y Derechos Humanos de Barcelona, España, 2011.",1171
"<li> Mejor película competencia nacional, Festival Internacional de Documentales de Santiago, 2011.<br>
<li> Mejor Largometraje Documental Nacional, Festival Internacional de Cine de Antofagasta, 2011.",1664
"<li> Mejor director, Festival Internacional de Cine Fantástico de Porto Alegre, Brasil, 2011.",782
"<li> Independent Jury Award, Festival de Cine de Locarno, 2011.",1380
"<li> Mejor película chilena, Santiago Festival Internacional de Cine, Sanfic, 2011.",1391
"<li> Mención honrosa, Santiago Festival Internacional de Cine, Sanfic, 2011.",297
"<li> Mejor director, competencia chilena, Santiago Festival Internacional de Cine, Sanfic, 2011.<br>
<li> Premio del público, Festival Internacional de Cine de Antofagasta, 2011.",1690
"<li> Premio del público, Santiago Festival Internacional de Cine, Sanfic, 2011.",1551
"<li> Premio del Público Largometraje Internacional y Premio VTR, Festival Internacional de Cine de Valdivia, 2011.",1395
"<li> Premio Especial de Jurado Largometraje Internacional, Festival Internacional de Cine de Valdivia, 2011.",1393
"<li> Mejor actriz, Mejor director, Premio de la prensa, Mejor dirección de arte, Festival de Cine Chileno Quilpué, 2011.<br>
<li> Mejor largometraje ficción, Interpretación Protagónica Femenina, Mejor Dirección de Arte, Mejor Diseño de Vestuario, Premios Pedro Sienna, 2011.",1379
