agno,titulo,linea,region,tipo,responsable,monto
2011,ELECTRODOMESTICOS ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,VII,PERSONA JURÍDICA,"PROYECTA PRODUCCIONES,   ","  18,111,914 "
2011,TE CREÍS LA MÁS LINDA... (PERO ME CAGASTE LA VIDA) ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,VII,PERSONA JURÍDICA,"PRODUCTORA AUDIOVISUAL DON QUIJOTE FILMS LTDA.,   ","  84,875,329 "
2011,POSTPRODUCCIÓN DOCUMENTAL SALAM ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,VII,PERSONA JURÍDICA,"PRODUCTORA AUDIOVISUAL DON QUIJOTE FILMS LIMITADA,   ","  19,997,925 "
2011,TU NOMBRE ME SABE A HIERBA ,PRODUCCIÓN DE OBRAS AUDIOVISUALES DE LARGOMETRAJE ,RM,PERSONA JURÍDICA ,ZETRA COMUNICACIONES S.A.,"  150,000,000 "
2011,CARNE DE PERRO ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"CENECA PRODUCCIONES,   ","  90,000,000 "
2011,ROMANCE POLICIAL ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"CENTRO CULTURAL ANTUMAPU,   ","  112,605,788 "
2011,MATAR A UN HOMBRE ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"SERVICIOS AUDIOVISUALES LIMITADA,   ","  153,000,000 "
2011,TIEMPOS MALOS ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"NÓMADA PRODUCCIONES E.I.R.L.,   ","  24,301,573 "
2011,"POSTPRODUCCIÓN Y OBTENCIÓN DE MASTER HD PARA EXHIBICIÓN DE LARGOMETRAJE
METRO CUADRADO ",PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"LAS NENAS GESTIÓN Y PRODUCCIÓN CULTURAL,   ","  9,980,468 "
2011,EL DEBER DE LA SONRISA ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"AZUL PRODUCCIONES S.A.,   ","  74,012,981 "
2011,"LARGOMETRAJE DOCUMENTAL ""LA CIUDAD DE LOS CÉSARES"" (CONSPIRACIÓN PATAGONIA) ",PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"SERVICIOS AUDIOVISUALES FRANCISCO HERVÉ ESPEJO EIRL,   ","  80,585,690 "
2011,LA NOCHE DE ENFRENTE ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"SURICATO E.I.R.L,   ","  152,783,814 "
2011,EL AÑO DEL TIGRE ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"LELIO Y MAZA LIMITADA,   ","  25,000,000 "
2011,NO ,PRODUCCIÓN DE OBRAS DE LARGOMETRAJE,RM,PERSONA JURÍDICA,"ASESORIAS Y PRODUCCIONES FABULA LIMITADA,   ","  153,000,000 "
