"pelicula_id","nombre_personaje"
2835,"Diego Ayala"
2836,"Cristián Jiménez"
2837,"Isidora Marras"
2837,"Catalina Calcagni"
2836,"Daniel Castro"
2851,"Nicolás Gonzales"
2851,"Ignacio Mardones"
2853,"Miguel Littin"
2861,"Rodrigo Antonio Norero"
2869,"Galut Alarcón"
2870,"Mauricio López Fernández"
2877,"Carolina García Bloj "
2885,"Ernesto Díaz"
2885,"Guillermo Prieto"
2885,"Andrea Sanz"
2885,"Diego Ayala"
2897,"Paola Castillo"
2899,"Jorge Yacoman"
2900,"Maite Alberdi"
2914,"Guillermo Amoedo"
2916,"Emilio Romero"
2916,"Francisco Bobadilla"
2916,"Luis Ponce"
3000,"Vladimir Rivera"
3000,"Enrique Videla"
2562,"Felipe Rojas"
3009,"Elisa Eliash"
3009,"Alicia Scherson"
3009,"Álvaro Díaz"
3010,"Sergio Castro San Martín"
3011,"Guillermo Calderón"
3011,"Daniel Villalobos"
3014,"Patricio Guzmán"
3011,"Pablo Larraín"
3021,"Marcia Tambutti"
3021,"Paola Castillo"
3021,"Bruni Burres"
3021,"Valeria Vargas"
3022,"Rodrigo Antonio Norero"
3048,"Sergio Castilla"
3060,"Sebastián Moreno"
3079,"Julio Rojas"
3079,"Matías Bize"
3085,"Coti Donoso"
3085,"Carla Higueras"
3100,"Diego Rougier"
3100,"Rodrigo Vergara Tampe"
3120,"Fernando Castets"
3123,"Cristóbal Valderrama"
3123,"Nicolás Saavedra"
3123,"Carlos Labbé"
3124,"Carola Fuentes"
3124,"Rafael Valdeavellano"
3126,"Vivienne Barry"
3126,"Renato Villegas"
3150,"Sebastián Silva"
3164,"Sebastián Brahm"
3169,"Yassin Velásquez"
3169,"Constanza Erenchun"
3172,"Guillermo Amoedo"
3172,"Nicolás López"
3172,"Eli Roth"
3203,"Nicolás López"
3203,"Diego Ayala"
2785,"Daniel Castro"
3309,"Alberto Serrano Fillol"
3316,"Francisco Hervé"
3321,"Guillermo Calderón"
3419,"María Teresa Larraín"
3428,"Cristóbal Olivares"
3428,"Felipe Villanueva"
3428,"Juan Carlos Ormeño"
3458,"Alvaro de la Barra"
3582,"Manuel Venegas Chaparro"
